Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
06-07-2011,612,614.8,591.95,605.5,607.15,66841,404.3
07-07-2011,596,617,596,608.2,609.25,32692,199.45
08-07-2011,609.35,614,601,603.45,602.75,24450,148.24
11-07-2011,601,611.7,597.05,599,598.35,18018,108.56
12-07-2011,603.95,604,585.15,590,590.15,29928,176.92
13-07-2011,596.2,600,591.05,591.65,594.2,36246,215.69
14-07-2011,582.2,601,582.2,596,595.8,30532,181.79
15-07-2011,599.95,603.05,584.9,589,589.45,44553,262.97
18-07-2011,589,592.7,581,585.65,583.2,115263,676.08
19-07-2011,588.95,588.95,580,580.95,581.5,79362,463.32
20-07-2011,585.05,586.9,575,575,576.75,20354,118.15
21-07-2011,582.6,582.6,566.05,568.65,568.9,32680,187.32
22-07-2011,565,573,555,570,570.1,136877,775.97
25-07-2011,570,580.95,561,574,575.6,225068,1285.75
26-07-2011,579.9,580,554.4,557.15,557.35,88978,503.26
27-07-2011,560.05,564.7,555.05,563.5,560.6,39152,219.03
28-07-2011,557.8,558.8,540,543.9,546.45,275699,1517.87
29-07-2011,543,558.2,531,550,549.3,149627,821.5
01-08-2011,559,565.4,540,541.3,541.2,144618,787.34
02-08-2011,541.2,542,530.65,532.15,533.9,56203,300.29
03-08-2011,532.85,537.9,518,530,529.1,26258,138.09
04-08-2011,536.95,545,520.15,522,522.05,76256,404.37
05-08-2011,509,515,494,499,500,76878,387.28
08-08-2011,499.9,499.9,480,491,490.8,63927,313.77
09-08-2011,479,494.5,474.95,480,480.35,43755,212.02
10-08-2011,490.05,497.9,480.1,485.4,485.35,135458,657.53
11-08-2011,486,494.75,481,481,482.3,51362,249.2
12-08-2011,485.25,489.95,479,479.05,481.65,30476,147.54
16-08-2011,485.65,486,450,452.5,451.7,85060,394.59
17-08-2011,458,458,426.05,450,444.75,127682,562.33
18-08-2011,444.1,449.45,425,437.5,435.9,89993,389.98
19-08-2011,426,433,411.7,417,418.85,96592,404.86
22-08-2011,423.95,444,415.75,441.5,440.25,281670,1198.66
23-08-2011,444.15,453.5,427,448.1,449.75,289110,1292.4
24-08-2011,450.75,451.6,442.1,445.05,448.25,161605,722.07
25-08-2011,449,452,438.5,445.95,446.45,237149,1053.19
26-08-2011,443,444,433.2,435.35,439.8,114411,502.84
29-08-2011,440.05,458.85,435.15,450,452.55,98215,443.62
30-08-2011,454,469,452.9,464,463.4,47682,220.92
02-09-2011,464.1,467.9,456.8,467.7,463.85,28181,130.22
05-09-2011,467.95,473.95,458,473,470.15,41915,196.04
06-09-2011,470.2,478,465,465.15,468.65,36790,172.87
07-09-2011,472,478,466.65,470,472.25,59532,281.64
08-09-2011,478.55,478.55,465,467.15,468.9,81389,383.37
09-09-2011,469,470.65,451.2,458,455.2,69383,318.9
12-09-2011,453,464.7,445.25,461,457.75,30844,139.38
